displayText,renderText,manifestKey,assetId,Fexisting,Mexisting,newF,newM,provenance
der/die Essayist/in,der Essayist, die Essayistin,der/die Essayist/in,e8a7597861db87ef,NO,NO,YES,YES,AUTO
der/die Musiktherapeut/in,der Musiktherapeut, die Musiktherapeutin,der/die Musiktherapeut/in,0549a84b9d79c587,NO,NO,YES,YES,AUTO
der/die Philosoph/in,der Philosoph, die Philosophin,der/die Philosoph/in,46cc917d9a86ff9a,NO,NO,YES,YES,AUTO
der/die Romantiker/in,der Romantiker, die Romantikerin,der/die Romantiker/in,23d86f5e1f032a4f,NO,NO,YES,YES,AUTO
der/die Satiriker/in,der Satiriker, die Satirikerin,der/die Satiriker/in,a04564e250f5aa1f,NO,NO,YES,YES,AUTO
der/die Schriftsteller/in,der Schriftsteller, die Schriftstellerin,der/die Schriftsteller/in,13b14715de13a9f1,NO,NO,YES,YES,AUTO
der/die Detektiv/in,der Detektiv, die Detektivin,der/die Detektiv/in,15a807bc0c25826e,NO,NO,YES,YES,AUTO
der/die Idiot/in,der Idiot, die Idiotin,der/die Idiot/in,5964775dfa70f92d,NO,NO,YES,YES,AUTO
der/die Informant/in,der Informant, die Informantin,der/die Informant/in,bd7800cdfc97e2ba,NO,NO,YES,YES,AUTO
der/die Kaiser/in,der Kaiser, die Kaiserin,der/die Kaiser/in,d2cae6a08015db52,NO,NO,YES,YES,AUTO
der/die Kommissar/in,der Kommissar, die Kommissarin,der/die Kommissar/in,66f6cb249b82aa43,NO,NO,YES,YES,AUTO
der/die Mandant/in,der Mandant, die Mandantin,der/die Mandant/in,b240f28681bba22a,NO,NO,YES,YES,AUTO
der/die Reporter/in,der Reporter, die Reporterin,der/die Reporter/in,e9f47cc49aba9b00,NO,NO,YES,YES,AUTO
der/die Betrachter/in,der Betrachter, die Betrachterin,der/die Betrachter/in,9f9441cd606f06d8,NO,NO,YES,YES,AUTO
der/die Entdecker/in,der Entdecker, die Entdeckerin,der/die Entdecker/in,9651095b4f25a303,NO,NO,YES,YES,AUTO
der/die Galerist/in,der Galerist, die Galeristin,der/die Galerist/in,e924b7499cee2f46,NO,NO,YES,YES,AUTO
der/die Ich-Erzähler/in,der Ich-Erzähler, die Ich-Erzählerin,der/die Ich-Erzähler/in,e4fc28a4441675ba,NO,NO,YES,YES,AUTO
der/die Malereiprofessor/in,der Malereiprofessor, die Malereiprofessorin,der/die Malereiprofessor/in,198b83aa34170b12,NO,NO,YES,YES,AUTO
der/die Meisterschüler/in,der Meisterschüler, die Meisterschülerin,der/die Meisterschüler/in,a4bad0c8e6c11482,NO,NO,YES,YES,AUTO
der/die Muttersprachler/in,der Muttersprachler, die Muttersprachlerin,der/die Muttersprachler/in,59e5a705a7f72992,NO,NO,YES,YES,AUTO
der/die Schlossbesucher/in,der Schlossbesucher, die Schlossbesucherin,der/die Schlossbesucher/in,59be81b798768a3c,NO,NO,YES,YES,AUTO
der/die Sprachforscher/in,der Sprachforscher, die Sprachforscherin,der/die Sprachforscher/in,dc54fec1c135575f,NO,NO,YES,YES,AUTO
der/die Vertreter/in,der Vertreter, die Vertreterin,der/die Vertreter/in,cc97ada73b1bf011,NO,NO,YES,YES,AUTO
der/die Astronom/in,der Astronom, die Astronomin,der/die Astronom/in,8e42069ce6531e9f,NO,NO,YES,YES,AUTO
der/die Aussteller/in,der Aussteller, die Ausstellerin,der/die Aussteller/in,b7b5ca2b72cbe513,NO,NO,YES,YES,AUTO
der/die Autofahrer/in,der Autofahrer, die Autofahrerin,der/die Autofahrer/in,51aab1d3da452e4d,NO,NO,YES,YES,AUTO
der/die Berater/in,der Berater, die Beraterin,der/die Berater/in,20254deea1e0f783,NO,NO,YES,YES,AUTO
der/die Fischer/in,der Fischer, die Fischerin,der/die Fischer/in,2e83831943c796ec,NO,NO,YES,YES,AUTO
der/die Mitinhaber/in,der Mitinhaber, die Mitinhaberin,der/die Mitinhaber/in,f968ce0d36b09a0e,NO,NO,YES,YES,AUTO
der/die Mitschüler/in,der Mitschüler, die Mitschülerin,der/die Mitschüler/in,3d200634ecc16bb9,NO,NO,YES,YES,AUTO
der/die Moderator/in,der Moderator, die Moderatorin,der/die Moderator/in,b75e013948121778,NO,NO,YES,YES,AUTO
der/die Optiker/in,der Optiker, die Optikerin,der/die Optiker/in,0f2e40c791165023,NO,NO,YES,YES,AUTO
der/die Schwimmer/in,der Schwimmer, die Schwimmerin,der/die Schwimmer/in,a268e1dc0dfbb03f,NO,NO,YES,YES,AUTO
der/die Berufsanfänger/in,der Berufsanfänger, die Berufsanfängerin,der/die Berufsanfänger/in,10c0eaf63f0a6909,NO,NO,YES,YES,AUTO
der/die Veranstalter/in,der Veranstalter, die Veranstalterin,der/die Veranstalter/in,fbc8b9aef32750e1,NO,NO,YES,YES,AUTO
der/die Wissensmanager/in,der Wissensmanager, die Wissensmanagerin,der/die Wissensmanager/in,c4aab273c49dc017,NO,NO,YES,YES,AUTO
der/die Erfinder/in,der Erfinder, die Erfinderin,der/die Erfinder/in,eafe25855b999918,NO,NO,YES,YES,AUTO
der/die Feind/in,der Feind, die Feindin,der/die Feind/in,fce610611a8cfbc4,NO,NO,YES,YES,AUTO
der/die Forscher/in,der Forscher, die Forscherin,der/die Forscher/in,62c97fd186906a98,NO,NO,YES,YES,AUTO
der/die Gewinner/in,der Gewinner, die Gewinnerin,der/die Gewinner/in,52b3ef2ba76a7811,NO,NO,YES,YES,AUTO
der/die Kämpfer/in,der Kämpfer, die Kämpferin,der/die Kämpfer/in,658ff0b91b567d56,NO,NO,YES,YES,AUTO
der/die Kandidat/in,der Kandidat, die Kandidatin,der/die Kandidat/in,c58752d384974686,NO,NO,YES,YES,AUTO
der/die Leiter/in,der Leiter, die Leiterin,der/die Leiter/in,763a8a5d1efcbe14,NO,NO,YES,YES,AUTO
der/die Mediziner/in,der Mediziner, die Medizinerin,der/die Mediziner/in,e29fb2de14cd53d6,NO,NO,YES,YES,AUTO
der/die Mitbewohner/in,der Mitbewohner, die Mitbewohnerin,der/die Mitbewohner/in,cb45f44286365b54,NO,NO,YES,YES,AUTO
der/die Physiker/in,der Physiker, die Physikerin,der/die Physiker/in,3e60951b3cdb4a3f,NO,NO,YES,YES,AUTO
der/die Präsident/in,der Präsident, die Präsidentin,der/die Präsident/in,2fdbcfe5bc537447,NO,NO,YES,YES,AUTO
